species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Chinstrap,BISCOE,45.5,16.3,202.0,3675.0,MALE
Gentoo,DREAM,48.1,20.0,195.0,3200.0,MALE
Adelie,DREAM,48.2,17.0,190.0,5300.0,FEMALE
Adelie,BISCOE,46.6,19.9,191.0,5350.0,MALE
Chinstrap,TORGERSEN,47.6,14.1,185.0,4800.0,FEMALE
Chinstrap,BISCOE,38.9,17.0,214.0,3800.0,FEMALE
Gentoo,TORGERSEN,45.6,19.4,214.0,4275.0,MALE
Gentoo,TORGERSEN,45.5,19.8,222.0,3100.0,FEMALE
Chinstrap,TORGERSEN,37.8,15.8,229.0,4100.0,MALE
Adelie,DREAM,46.2,17.6,189.0,3250.0,MALE
Chinstrap,TORGERSEN,41.1,19.6,221.0,3350.0,MALE
Chinstrap,BISCOE,41.8,15.3,218.0,4800.0,MALE
Adelie,BISCOE,49.1,17.1,191.0,4650.0,FEMALE
Adelie,BISCOE,48.5,17.6,190.0,3900.0,FEMALE
Adelie,BISCOE,37.8,14.6,222.0,5000.0,FEMALE
Adelie,BISCOE,36.7,14.3,199.0,4300.0,MALE
Adelie,DREAM,41.6,14.3,178.0,3075.0,FEMALE
Adelie,TORGERSEN,51.3,20.7,220.0,4000.0,FEMALE
Gentoo,BISCOE,34.6,18.1,191.0,2700.0,MALE
Chinstrap,DREAM,46.2,17.9,197.0,5550.0,FEMALE
Gentoo,BISCOE,48.4,14.2,180.0,3500.0,FEMALE
Gentoo,BISCOE,45.2,14.2,219.0,3550.0,MALE
Chinstrap,BISCOE,47.5,13.3,183.0,5150.0,MALE
Gentoo,BISCOE,49.5,14.8,228.0,3350.0,FEMALE
Gentoo,BISCOE,46.7,16.4,220.0,3900.0,MALE
Chinstrap,TORGERSEN,39.2,18.7,194.0,3900.0,FEMALE
Chinstrap,BISCOE,46.5,18.1,222.0,4250.0,FEMALE
Adelie,TORGERSEN,49.8,18.1,230.0,4150.0,FEMALE
Chinstrap,DREAM,33.5,16.5,200.0,3675.0,FEMALE
Gentoo,BISCOE,40.5,19.5,188.0,4575.0,FEMALE
Chinstrap,BISCOE,46.5,15.9,228.0,4700.0,MALE
Chinstrap,TORGERSEN,35.5,18.1,185.0,3425.0,MALE
Adelie,TORGERSEN,41.1,18.4,185.0,3050.0,MALE
Adelie,DREAM,35.0,15.9,216.0,3750.0,MALE
Gentoo,TORGERSEN,50.8,15.0,190.0,4100.0,MALE
Gentoo,BISCOE,50.5,19.5,187.0,3725.0,MALE
Chinstrap,TORGERSEN,50.8,17.8,187.0,3950.0,FEMALE
Gentoo,TORGERSEN,45.5,15.8,191.0,3250.0,FEMALE
Gentoo,BISCOE,32.1,19.3,222.0,3550.0,MALE
Gentoo,BISCOE,39.2,15.7,187.0,5500.0,MALE
Adelie,DREAM,41.1,16.5,192.0,3200.0,MALE
Gentoo,BISCOE,38.6,16.2,219.0,4875.0,MALE
Chinstrap,DREAM,45.2,19.0,181.0,4750.0,FEMALE
Chinstrap,BISCOE,49.9,18.6,185.0,2900.0,FEMALE
Gentoo,BISCOE,41.5,15.7,230.0,4450.0,FEMALE
Chinstrap,BISCOE,44.1,18.8,181.0,3300.0,FEMALE
Gentoo,BISCOE,48.1,16.8,221.0,4200.0,MALE
Chinstrap,BISCOE,42.0,19.0,214.0,4075.0,MALE
Adelie,BISCOE,41.5,16.1,197.0,3300.0,MALE
Chinstrap,TORGERSEN,50.5,19.6,197.0,3800.0,MALE
Chinstrap,BISCOE,48.5,17.6,216.0,4250.0,FEMALE
Adelie,DREAM,42.1,16.5,201.0,3950.0,MALE
Gentoo,TORGERSEN,58.0,14.2,205.0,3450.0,FEMALE
Gentoo,DREAM,36.7,19.3,210.0,4450.0,MALE
Gentoo,TORGERSEN,45.2,17.8,217.0,3475.0,FEMALE
Adelie,TORGERSEN,52.0,19.2,208.0,5000.0,FEMALE
Adelie,TORGERSEN,38.2,16.6,195.0,4450.0,FEMALE
Adelie,TORGERSEN,49.8,16.8,198.0,4275.0,FEMALE
Gentoo,DREAM,50.5,14.5,219.0,3275.0,MALE
Adelie,BISCOE,43.2,16.8,186.0,3900.0,MALE
Adelie,TORGERSEN,49.0,17.1,210.0,5150.0,MALE
Gentoo,BISCOE,59.6,18.7,200.0,3475.0,FEMALE
Gentoo,BISCOE,41.8,13.7,192.0,3325.0,FEMALE
Adelie,DREAM,45.5,19.5,215.0,4625.0,MALE
Chinstrap,BISCOE,49.5,18.6,208.0,5750.0,FEMALE
Gentoo,BISCOE,43.2,18.2,215.0,5800.0,MALE
Gentoo,BISCOE,41.1,18.9,190.0,3750.0,FEMALE
Adelie,TORGERSEN,46.3,16.9,214.0,3950.0,MALE
Chinstrap,DREAM,39.6,18.9,219.0,3650.0,FEMALE
Chinstrap,DREAM,51.1,16.3,210.0,3800.0,MALE
Adelie,BISCOE,38.8,18.5,195.0,4350.0,FEMALE
Chinstrap,DREAM,43.1,16.1,213.0,3600.0,MALE
Adelie,BISCOE,51.7,19.5,190.0,4075.0,MALE
Chinstrap,DREAM,45.7,18.9,216.0,4250.0,FEMALE
Gentoo,TORGERSEN,51.3,14.4,196.0,3850.0,MALE
Chinstrap,BISCOE,42.4,15.0,212.0,3800.0,MALE
Adelie,DREAM,42.7,18.8,187.0,3950.0,MALE
Gentoo,TORGERSEN,44.5,16.3,191.0,4000.0,FEMALE
Chinstrap,BISCOE,44.1,13.9,178.0,3150.0,FEMALE
Adelie,TORGERSEN,48.8,14.4,193.0,3350.0,FEMALE
Gentoo,DREAM,39.2,20.1,196.0,3250.0,MALE
Chinstrap,DREAM,35.3,18.7,193.0,3950.0,FEMALE
Adelie,DREAM,55.8,13.8,187.0,4500.0,MALE
Adelie,DREAM,45.8,17.3,195.0,5550.0,FEMALE
Adelie,DREAM,34.5,17.7,230.0,3200.0,MALE
Adelie,BISCOE,45.4,18.8,216.0,4600.0,MALE
Adelie,TORGERSEN,39.6,15.0,210.0,5250.0,MALE
Gentoo,TORGERSEN,46.1,18.6,187.0,4150.0,MALE
Adelie,DREAM,33.1,18.5,225.0,5550.0,FEMALE
Chinstrap,TORGERSEN,46.5,15.6,187.0,4100.0,FEMALE
Adelie,TORGERSEN,36.5,17.6,196.0,6000.0,MALE
Gentoo,DREAM,45.2,13.7,178.0,4375.0,MALE
Adelie,BISCOE,41.1,18.1,184.0,4900.0,MALE
Chinstrap,DREAM,36.4,15.5,195.0,4050.0,MALE
Gentoo,TORGERSEN,51.5,16.3,187.0,3300.0,MALE
Gentoo,BISCOE,51.9,14.5,196.0,4600.0,MALE
Gentoo,DREAM,45.5,18.5,210.0,3900.0,MALE
Chinstrap,BISCOE,40.3,19.8,188.0,3450.0,MALE
Gentoo,BISCOE,50.0,14.3,201.0,3500.0,FEMALE
Gentoo,BISCOE,39.7,18.9,219.0,3875.0,MALE
Chinstrap,BISCOE,45.5,16.3,202.0,3675.0,MALE
Gentoo,DREAM,48.1,20.0,195.0,3200.0,MALE
Adelie,DREAM,48.2,17.0,190.0,5300.0,FEMALE
Adelie,BISCOE,46.6,19.9,191.0,5350.0,MALE
Chinstrap,TORGERSEN,47.6,14.1,185.0,4800.0,FEMALE
Chinstrap,BISCOE,38.9,17.0,214.0,3800.0,FEMALE
Gentoo,TORGERSEN,45.6,19.4,214.0,4275.0,MALE
Gentoo,TORGERSEN,45.5,19.8,222.0,3100.0,FEMALE
Chinstrap,TORGERSEN,37.8,15.8,229.0,4100.0,MALE
Adelie,DREAM,46.2,17.6,189.0,3250.0,MALE
Chinstrap,TORGERSEN,41.1,19.6,221.0,3350.0,MALE
Chinstrap,BISCOE,41.8,15.3,218.0,4800.0,MALE
Adelie,BISCOE,49.1,17.1,191.0,4650.0,FEMALE
Adelie,BISCOE,48.5,17.6,190.0,3900.0,FEMALE
Adelie,BISCOE,37.8,14.6,222.0,5000.0,FEMALE
Adelie,BISCOE,36.7,14.3,199.0,4300.0,MALE
Adelie,DREAM,41.6,14.3,178.0,3075.0,FEMALE
Adelie,TORGERSEN,51.3,20.7,220.0,4000.0,FEMALE
Gentoo,BISCOE,34.6,18.1,191.0,2700.0,MALE
Chinstrap,DREAM,46.2,17.9,197.0,5550.0,FEMALE
Gentoo,BISCOE,48.4,14.2,180.0,3500.0,FEMALE
Gentoo,BISCOE,45.2,14.2,219.0,3550.0,MALE
Chinstrap,BISCOE,47.5,13.3,183.0,5150.0,MALE
Gentoo,BISCOE,49.5,14.8,228.0,3350.0,FEMALE
Gentoo,BISCOE,46.7,16.4,220.0,3900.0,MALE
Chinstrap,TORGERSEN,39.2,18.7,194.0,3900.0,FEMALE
Chinstrap,BISCOE,46.5,18.1,222.0,4250.0,FEMALE
Adelie,TORGERSEN,49.8,18.1,230.0,4150.0,FEMALE
Chinstrap,DREAM,33.5,16.5,200.0,3675.0,FEMALE
