species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Chinstrap,Biscoe,45.5,16.3,202.0,3675.0,MALE
Gentoo,Dream,48.1,20.0,195.0,3200.0,MALE
Adelie,Dream,48.2,17.0,190.0,5300.0,FEMALE
Adelie,Biscoe,46.6,19.9,191.0,5350.0,MALE
Chinstrap,Torgersen,47.6,14.1,185.0,4800.0,FEMALE
Chinstrap,Biscoe,38.9,17.0,214.0,3800.0,FEMALE
Gentoo,Torgersen,45.6,19.4,214.0,4275.0,MALE
Gentoo,Torgersen,45.5,19.8,222.0,3100.0,FEMALE
Chinstrap,Torgersen,37.8,15.8,229.0,4100.0,MALE
Adelie,Dream,46.2,17.6,189.0,3250.0,MALE
Chinstrap,Torgersen,41.1,19.6,221.0,3350.0,MALE
Chinstrap,Biscoe,41.8,15.3,218.0,4800.0,MALE
Adelie,Biscoe,49.1,17.1,191.0,4650.0,FEMALE
Adelie,Biscoe,48.5,17.6,190.0,3900.0,FEMALE
Adelie,Biscoe,37.8,14.6,222.0,5000.0,FEMALE
Adelie,Biscoe,36.7,14.3,199.0,4300.0,MALE
Adelie,Dream,41.6,14.3,178.0,3075.0,FEMALE
Adelie,Torgersen,51.3,20.7,220.0,4000.0,FEMALE
Gentoo,Biscoe,34.6,18.1,191.0,2700.0,MALE
Chinstrap,Dream,46.2,17.9,197.0,5550.0,FEMALE
Gentoo,Biscoe,48.4,14.2,180.0,3500.0,FEMALE
Gentoo,Biscoe,45.2,14.2,219.0,3550.0,MALE
Chinstrap,Biscoe,47.5,13.3,183.0,5150.0,MALE
Gentoo,Biscoe,49.5,14.8,228.0,3350.0,FEMALE
Gentoo,Biscoe,46.7,16.4,220.0,3900.0,MALE
Chinstrap,Torgersen,39.2,18.7,194.0,3900.0,FEMALE
Chinstrap,Biscoe,46.5,18.1,222.0,4250.0,FEMALE
Adelie,Torgersen,49.8,18.1,230.0,4150.0,FEMALE
Chinstrap,Dream,33.5,16.5,200.0,3675.0,FEMALE
Gentoo,Biscoe,40.5,19.5,188.0,4575.0,FEMALE
Chinstrap,Biscoe,46.5,15.9,228.0,4700.0,MALE
Chinstrap,Torgersen,35.5,18.1,185.0,3425.0,MALE
Adelie,Torgersen,41.1,18.4,185.0,3050.0,MALE
Adelie,Dream,35.0,15.9,216.0,3750.0,MALE
Gentoo,Torgersen,50.8,15.0,190.0,4100.0,MALE
Gentoo,Biscoe,50.5,19.5,187.0,3725.0,MALE
Chinstrap,Torgersen,50.8,17.8,187.0,3950.0,FEMALE
Gentoo,Torgersen,45.5,15.8,191.0,3250.0,FEMALE
Gentoo,Biscoe,32.1,19.3,222.0,3550.0,MALE
Gentoo,Biscoe,39.2,15.7,187.0,5500.0,MALE
Adelie,Dream,41.1,16.5,192.0,3200.0,MALE
Gentoo,Biscoe,38.6,16.2,219.0,4875.0,MALE
Chinstrap,Dream,45.2,19.0,181.0,4750.0,FEMALE
Chinstrap,Biscoe,49.9,18.6,185.0,2900.0,FEMALE
Gentoo,Biscoe,41.5,15.7,230.0,4450.0,FEMALE
Chinstrap,Biscoe,44.1,18.8,181.0,3300.0,FEMALE
Gentoo,Biscoe,48.1,16.8,221.0,4200.0,MALE
Chinstrap,Biscoe,42.0,19.0,214.0,4075.0,MALE
Adelie,Biscoe,41.5,16.1,197.0,3300.0,MALE
Chinstrap,Torgersen,50.5,19.6,197.0,3800.0,MALE
Adelie,Torgersen,42.5,18.3,230.0,4300.0,MALE
Gentoo,Dream,36.3,14.8,217.0,4725.0,FEMALE
Chinstrap,Torgersen,41.1,18.6,196.0,3900.0,MALE
Chinstrap,Torgersen,49.9,17.8,199.0,3525.0,FEMALE
Adelie,Biscoe,38.6,18.9,208.0,3300.0,FEMALE
Chinstrap,Biscoe,49.5,19.9,185.0,5500.0,FEMALE
Adelie,Dream,47.0,14.6,198.0,3450.0,MALE
Gentoo,Torgersen,36.0,14.8,182.0,4700.0,MALE
Gentoo,Biscoe,43.4,16.2,196.0,6000.0,MALE
Adelie,Biscoe,39.6,15.3,180.0,3550.0,FEMALE
Chinstrap,Dream,41.3,20.8,191.0,3950.0,MALE
Gentoo,Torgersen,44.5,19.4,228.0,4250.0,FEMALE
Gentoo,Torgersen,49.4,16.5,213.0,4050.0,MALE
Adelie,Biscoe,50.2,17.5,212.0,4650.0,MALE
Adelie,Dream,35.9,14.2,186.0,3450.0,FEMALE
Chinstrap,Torgersen,49.5,17.9,230.0,3450.0,FEMALE
Adelie,Biscoe,38.6,17.9,191.0,5400.0,FEMALE
Gentoo,Torgersen,34.1,14.8,189.0,3675.0,FEMALE
Chinstrap,Torgersen,34.6,17.9,180.0,3175.0,FEMALE
Adelie,Dream,39.6,15.6,195.0,3500.0,FEMALE
Chinstrap,Biscoe,52.7,17.8,214.0,3750.0,FEMALE
Chinstrap,Dream,45.6,16.0,205.0,3875.0,MALE
Adelie,Torgersen,41.1,18.1,196.0,4850.0,MALE
Gentoo,Dream,38.1,18.5,197.0,4500.0,MALE
Gentoo,Torgersen,46.1,13.8,188.0,5500.0,MALE
Gentoo,Torgersen,48.1,18.9,198.0,4625.0,MALE
Chinstrap,Dream,47.0,14.6,213.0,3075.0,MALE
Adelie,Torgersen,38.9,14.5,187.0,3600.0,MALE
Adelie,Torgersen,37.8,17.7,210.0,4850.0,MALE
Gentoo,Biscoe,37.3,15.0,206.0,4100.0,FEMALE
Adelie,Dream,38.9,14.2,196.0,3400.0,MALE
Adelie,Dream,45.8,19.8,215.0,4600.0,FEMALE
Adelie,Torgersen,40.8,17.9,181.0,4800.0,MALE
Gentoo,Dream,43.8,20.7,187.0,3950.0,MALE
Gentoo,Dream,37.8,18.4,190.0,5350.0,MALE
Chinstrap,Biscoe,44.4,18.1,209.0,3300.0,MALE
Gentoo,Dream,48.6,18.9,217.0,4050.0,MALE
Gentoo,Torgersen,46.8,15.6,190.0,4850.0,FEMALE
Chinstrap,Dream,35.7,13.8,191.0,3900.0,FEMALE
Chinstrap,Biscoe,37.8,14.4,216.0,4250.0,FEMALE
Chinstrap,Torgersen,51.9,18.1,190.0,4275.0,FEMALE
Chinstrap,Biscoe,42.5,13.9,190.0,5050.0,FEMALE
Adelie,Dream,37.3,18.6,206.0,2975.0,MALE
Chinstrap,Biscoe,48.4,13.5,208.0,3200.0,MALE
Adelie,Torgersen,37.8,19.0,192.0,5650.0,MALE
Adelie,Torgersen,37.3,17.5,221.0,4300.0,MALE
Chinstrap,Torgersen,40.2,15.9,213.0,3150.0,FEMALE
Adelie,Torgersen,46.1,16.1,187.0,5300.0,MALE
Chinstrap,Biscoe,49.1,21.5,205.0,4675.0,MALE
Gentoo,Dream,45.3,16.1,213.0,4850.0,FEMALE
Chinstrap,Biscoe,48.5,17.6,216.0,4250.0,FEMALE
Adelie,Dream,42.1,16.5,201.0,3950.0,MALE
Gentoo,Torgersen,58.0,14.2,205.0,3450.0,FEMALE
Gentoo,Dream,36.7,19.3,210.0,4450.0,MALE
Gentoo,Torgersen,45.2,17.8,217.0,3475.0,FEMALE
Adelie,Torgersen,52.0,19.2,208.0,5000.0,FEMALE
Adelie,Torgersen,38.2,16.6,195.0,4450.0,FEMALE
Adelie,Torgersen,49.8,16.8,198.0,4275.0,FEMALE
Gentoo,Dream,50.5,14.5,219.0,3275.0,MALE
Adelie,Biscoe,43.2,16.8,186.0,3900.0,MALE
Adelie,Torgersen,49.0,17.1,210.0,5150.0,MALE
Gentoo,Biscoe,59.6,18.7,200.0,3475.0,FEMALE
Gentoo,Biscoe,41.8,13.7,192.0,3325.0,FEMALE
Adelie,Dream,45.5,19.5,215.0,4625.0,MALE
Chinstrap,Biscoe,49.5,18.6,208.0,5750.0,FEMALE
Gentoo,Biscoe,43.2,18.2,215.0,5800.0,MALE
Gentoo,Biscoe,41.1,18.9,190.0,3750.0,FEMALE
Adelie,Torgersen,46.3,16.9,214.0,3950.0,MALE
Chinstrap,Dream,39.6,18.9,219.0,3650.0,FEMALE
Chinstrap,Dream,51.1,16.3,210.0,3800.0,MALE
Adelie,Biscoe,38.8,18.5,195.0,4350.0,FEMALE
Chinstrap,Dream,43.1,16.1,213.0,3600.0,MALE
Adelie,Biscoe,51.7,19.5,190.0,4075.0,MALE
Chinstrap,Dream,45.7,18.9,216.0,4250.0,FEMALE
Gentoo,Torgersen,51.3,14.4,196.0,3850.0,MALE
Chinstrap,Biscoe,42.4,15.0,212.0,3800.0,MALE
Adelie,Dream,42.7,18.8,187.0,3950.0,MALE
Gentoo,Torgersen,44.5,16.3,191.0,4000.0,FEMALE
Chinstrap,Biscoe,44.1,13.9,178.0,3150.0,FEMALE
Adelie,Torgersen,48.8,14.4,193.0,3350.0,FEMALE
Gentoo,Dream,39.2,20.1,196.0,3250.0,MALE
Chinstrap,Dream,35.3,18.7,193.0,3950.0,FEMALE
Adelie,Dream,55.8,13.8,187.0,4500.0,MALE
