species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Biscoe,40.8,14.5,178.0,4725.0,MALE
Adelie,Torgersen,41.1,14.5,221.0,5700.0,MALE
Chinstrap,Dream,38.5,19.5,186.0,3775.0,MALE
Adelie,Torgersen,51.1,15.0,214.0,4000.0,FEMALE
Chinstrap,Torgersen,40.8,19.4,230.0,3450.0,FEMALE
Gentoo,Biscoe,37.8,15.9,230.0,3700.0,FEMALE
Gentoo,Torgersen,47.7,13.8,190.0,5400.0,MALE
Chinstrap,Dream,41.0,16.5,201.0,4250.0,MALE
Chinstrap,Dream,35.7,18.6,211.0,3450.0,MALE
Gentoo,Biscoe,45.4,18.2,225.0,5550.0,MALE
Chinstrap,Biscoe,35.2,14.5,215.0,4300.0,MALE
Gentoo,Biscoe,46.5,14.0,186.0,5700.0,MALE
Gentoo,Biscoe,46.4,18.4,230.0,3250.0,MALE
Gentoo,Biscoe,48.7,16.3,187.0,4750.0,FEMALE
Chinstrap,Torgersen,46.1,15.0,228.0,3625.0,MALE
Adelie,Torgersen,45.2,14.3,195.0,3675.0,MALE
Gentoo,Biscoe,43.5,13.4,195.0,3525.0,MALE
Gentoo,Biscoe,35.0,19.0,182.0,3525.0,MALE
Chinstrap,Torgersen,45.7,20.3,185.0,4500.0,FEMALE
Gentoo,Dream,37.8,19.0,208.0,5250.0,FEMALE
Chinstrap,Biscoe,38.9,16.6,188.0,4300.0,FEMALE
Chinstrap,Torgersen,47.3,18.5,184.0,4625.0,FEMALE
Chinstrap,Dream,50.0,17.5,196.0,3500.0,FEMALE
Adelie,Torgersen,36.0,19.8,225.0,4875.0,FEMALE
Chinstrap,Dream,50.1,16.5,199.0,3600.0,MALE
Chinstrap,Biscoe,44.4,19.8,208.0,4700.0,FEMALE
Adelie,Torgersen,39.6,17.1,225.0,4475.0,FEMALE
Gentoo,Biscoe,40.7,14.2,185.0,3950.0,FEMALE
Gentoo,Biscoe,46.8,18.4,222.0,5150.0,FEMALE
Chinstrap,Torgersen,43.8,14.4,216.0,2850.0,MALE
Gentoo,Dream,40.9,18.7,200.0,5000.0,MALE
Gentoo,Torgersen,46.1,15.7,226.0,4650.0,FEMALE
Adelie,Biscoe,50.0,16.6,210.0,3950.0,FEMALE
Gentoo,Torgersen,48.4,17.8,218.0,3500.0,FEMALE
Gentoo,Torgersen,40.6,18.9,210.0,4975.0,MALE
Chinstrap,Biscoe,40.8,18.6,212.0,3550.0,MALE
Chinstrap,Torgersen,45.8,17.3,193.0,3800.0,MALE
Chinstrap,Torgersen,40.9,15.9,223.0,3450.0,MALE
Adelie,Dream,40.6,19.1,220.0,3075.0,MALE
Adelie,Torgersen,39.2,14.5,201.0,4850.0,MALE
Chinstrap,Biscoe,49.5,18.6,213.0,4350.0,FEMALE
Gentoo,Biscoe,40.2,18.6,196.0,3900.0,FEMALE
Chinstrap,Dream,50.5,19.0,230.0,4900.0,FEMALE
Gentoo,Biscoe,51.5,19.3,217.0,4300.0,FEMALE
Adelie,Torgersen,44.1,15.2,190.0,4100.0,MALE
Gentoo,Biscoe,50.0,14.8,230.0,3300.0,FEMALE
Adelie,Torgersen,51.7,19.0,199.0,3450.0,MALE
Gentoo,Torgersen,40.2,20.2,192.0,3350.0,MALE
Adelie,Dream,49.0,18.8,192.0,3450.0,FEMALE
Chinstrap,Dream,50.5,16.0,185.0,3700.0,FEMALE
