species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,dream,42.5,17.3,197.0,3700.0,FEMALE
Adelie,torgersen,35.6,18.5,190.0,3900.0,FEMALE
Gentoo,biscoe,38.2,20.7,220.0,4700.0,MALE
Chinstrap,biscoe,52.2,13.9,185.0,3950.0,MALE
Adelie,dream,48.7,15.0,188.0,3400.0,FEMALE
Adelie,torgersen,37.3,18.5,211.0,3500.0,MALE
Chinstrap,dream,35.1,16.1,195.0,2900.0,MALE
Chinstrap,dream,50.5,17.9,206.0,3800.0,MALE
Chinstrap,biscoe,54.3,17.3,197.0,4500.0,FEMALE
Gentoo,dream,47.0,14.6,219.0,4400.0,FEMALE
Chinstrap,biscoe,50.1,18.7,222.0,5600.0,MALE
Adelie,biscoe,49.1,18.2,210.0,2925.0,FEMALE
Chinstrap,biscoe,48.5,19.1,222.0,3200.0,MALE
Adelie,dream,49.6,18.8,222.0,4650.0,FEMALE
Chinstrap,torgersen,39.6,13.8,216.0,3250.0,FEMALE
Chinstrap,torgersen,34.1,16.6,185.0,3550.0,MALE
Gentoo,dream,40.2,19.6,198.0,5200.0,MALE
Gentoo,torgersen,50.5,18.0,199.0,3050.0,FEMALE
Gentoo,dream,41.3,18.9,210.0,3500.0,MALE
Adelie,torgersen,44.0,13.5,184.0,3325.0,MALE
Gentoo,torgersen,32.1,17.3,224.0,3875.0,MALE
Chinstrap,biscoe,49.3,14.8,192.0,3750.0,MALE
Gentoo,biscoe,48.8,17.0,187.0,3600.0,MALE
Chinstrap,dream,37.3,19.2,219.0,5700.0,MALE
Chinstrap,torgersen,41.1,14.4,208.0,5550.0,MALE
Chinstrap,torgersen,42.8,19.2,202.0,2925.0,MALE
Gentoo,dream,36.3,18.5,190.0,5050.0,FEMALE
Gentoo,dream,49.6,19.3,220.0,4475.0,MALE
Gentoo,torgersen,47.2,16.8,197.0,3650.0,MALE
Gentoo,biscoe,38.1,17.3,210.0,3200.0,MALE
Gentoo,dream,50.9,20.8,195.0,5550.0,MALE
Gentoo,biscoe,37.9,16.7,212.0,4400.0,FEMALE
Adelie,biscoe,49.0,20.3,190.0,3250.0,MALE
Adelie,torgersen,53.4,21.2,193.0,3550.0,FEMALE
Adelie,torgersen,41.1,17.9,220.0,5650.0,MALE
Gentoo,dream,43.1,14.5,178.0,3250.0,FEMALE
Gentoo,biscoe,42.6,17.3,186.0,3325.0,FEMALE
Adelie,dream,46.2,16.6,220.0,3700.0,MALE
Adelie,torgersen,43.5,15.7,195.0,3300.0,MALE
Gentoo,dream,40.6,18.9,199.0,5850.0,FEMALE
Chinstrap,torgersen,40.9,17.2,190.0,3800.0,FEMALE
